Generation,Time_seconds,Best_cost,Mean_cost,Holding_cost,Order_cost,Shortage_cost,Penalty_cost,Method
59,2.2393569,174818439.5,25174746712,100390610.8,63189037.63,11238791,0,HGA-VNS
60,2.2986578,174818439.5,31447786350,100390610.8,63189037.63,11238791,0,HGA-VNS
61,2.3395495,174818439.5,53420410198,100390610.8,63189037.63,11238791,0,HGA-VNS
62,2.3764437,174818439.5,53827389083,100390610.8,63189037.63,11238791,0,HGA-VNS
63,2.4149021,174818439.5,53694122704,100390610.8,63189037.63,11238791,0,HGA-VNS
64,2.4540127,174814128.3,38579814015,100469544.6,63204527.72,11140056,0,HGA-VNS
65,2.4930359,174801919.5,50175586837,100472825.8,63189037.63,11140056,0,HGA-VNS
66,2.53993,174801919.5,174806676.1,100472825.8,63189037.63,11140056,0,HGA-VNS
67,2.5849403,174801919.5,54031221573,100472825.8,63189037.63,11140056,0,HGA-VNS
68,2.6277163,174801919.5,2.09E+11,100472825.8,63189037.63,11140056,0,HGA-VNS
69,2.6695242,174801919.5,57206430881,100472825.8,63189037.63,11140056,0,HGA-VNS
70,2.7193025,174801919.5,18718598902,100472825.8,63189037.63,11140056,0,HGA-VNS
71,2.7657872,174801919.5,35551144566,100472825.8,63189037.63,11140056,0,HGA-VNS
72,2.8099641,174801919.5,79746259971,100472825.8,63189037.63,11140056,0,HGA-VNS
73,2.8489936,174801919.5,30733777688,100472825.8,63189037.63,11140056,0,HGA-VNS
74,2.8871736,174801919.5,26408535677,100472825.8,63189037.63,11140056,0,HGA-VNS
75,2.9435546,174801919.5,51906465426,100472825.8,63189037.63,11140056,0,HGA-VNS
76,2.9984232,174801919.5,50476023194,100472825.8,63189037.63,11140056,0,HGA-VNS
77,3.0353438,174801919.5,63287629851,100472825.8,63189037.63,11140056,0,HGA-VNS
78,3.0728026,174801919.5,43249272209,100472825.8,63189037.63,11140056,0,HGA-VNS
79,3.1086707,174801919.5,56025499038,100472825.8,63189037.63,11140056,0,HGA-VNS
80,3.1505381,174801919.5,89440510814,100472825.8,63189037.63,11140056,0,HGA-VNS
81,3.1888161,174801919.5,58137374008,100472825.8,63189037.63,11140056,0,HGA-VNS
82,3.2231762,174801919.5,1.28E+11,100472825.8,63189037.63,11140056,0,HGA-VNS
83,3.2691003,174801919.5,13579467506,100472825.8,63189037.63,11140056,0,HGA-VNS
84,3.3222625,174801919.5,38587984985,100472825.8,63189037.63,11140056,0,HGA-VNS
85,3.3604955,174801919.5,46656000091,100472825.8,63189037.63,11140056,0,HGA-VNS
86,3.4011706,174801919.5,69420160408,100472825.8,63189037.63,11140056,0,HGA-VNS
87,3.4383486,174801919.5,33100891958,100472825.8,63189037.63,11140056,0,HGA-VNS
88,3.4835922,174801919.5,86858779482,100472825.8,63189037.63,11140056,0,HGA-VNS
89,3.5211312,174801919.5,61499593706,100472825.8,63189037.63,11140056,0,HGA-VNS
90,3.5646496,174801919.5,53317434548,100472825.8,63189037.63,11140056,0,HGA-VNS
91,3.6177254,174801919.5,10730432767,100472825.8,63189037.63,11140056,0,HGA-VNS
92,3.6618192,174801919.5,92067962060,100472825.8,63189037.63,11140056,0,HGA-VNS
93,3.6993174,174801919.5,76588299232,100472825.8,63189037.63,11140056,0,HGA-VNS
94,3.7379722,174801919.5,1.01E+11,100472825.8,63189037.63,11140056,0,HGA-VNS
95,3.7746377,174801919.5,42519532281,100472825.8,63189037.63,11140056,0,HGA-VNS
96,3.8108529,174801919.5,31841243759,100472825.8,63189037.63,11140056,0,HGA-VNS
97,3.8475243,174801919.5,52259143044,100472825.8,63189037.63,11140056,0,HGA-VNS
98,3.8898707,174801919.5,1.50E+11,100472825.8,63189037.63,11140056,0,HGA-VNS
99,3.9369052,174801919.5,42294891416,100472825.8,63189037.63,11140056,0,HGA-VNS
100,3.9796708,174801919.5,1.10E+11,100472825.8,63189037.63,11140056,0,HGA-VNS
101,4.0180394,174801919.5,40157962370,100472825.8,63189037.63,11140056,0,HGA-VNS
102,4.0604566,174801919.5,72248049878,100472825.8,63189037.63,11140056,0,HGA-VNS
103,4.0974259,174801919.5,14962845806,100472825.8,63189037.63,11140056,0,HGA-VNS
104,4.133185,174801919.5,55174415098,100472825.8,63189037.63,11140056,0,HGA-VNS
105,4.1693865,174801919.5,53118359223,100472825.8,63189037.63,11140056,0,HGA-VNS
106,4.2063081,174801919.5,60257730872,100472825.8,63189037.63,11140056,0,HGA-VNS
107,4.2562746,174801919.5,58139063920,100472825.8,63189037.63,11140056,0,HGA-VNS
108,4.3023524,174801919.5,39129117186,100472825.8,63189037.63,11140056,0,HGA-VNS
109,4.3441232,174801919.5,26656903780,100472825.8,63189037.63,11140056,0,HGA-VNS
110,4.3823499,174801919.5,36628435312,100472825.8,63189037.63,11140056,0,HGA-VNS
111,4.4213257,174801919.5,79913488525,100472825.8,63189037.63,11140056,0,HGA-VNS
112,4.4565604,174801919.5,30736821206,100472825.8,63189037.63,11140056,0,HGA-VNS
113,4.4905782,174801919.5,1.07E+11,100472825.8,63189037.63,11140056,0,HGA-VNS
114,4.5270741,174801919.5,56809368424,100472825.8,63189037.63,11140056,0,HGA-VNS
115,4.5766074,174794093.5,34540863180,100536980.8,63189037.63,11068075,0,HGA-VNS
116,4.6212942,174794093.5,63271944957,100536980.8,63189037.63,11068075,0,HGA-VNS
117,4.6598222,174794093.5,1.01E+11,100536980.8,63189037.63,11068075,0,HGA-VNS
118,4.6945453,174794093.5,17036166751,100536980.8,63189037.63,11068075,0,HGA-VNS
119,4.727822,174794093.5,44041567643,100536980.8,63189037.63,11068075,0,HGA-VNS
120,4.7638178,174794093.5,46095227300,100536980.8,63189037.63,11068075,0,HGA-VNS
121,4.7997739,174794093.5,38333326544,100536980.8,63189037.63,11068075,0,HGA-VNS
122,4.8354936,174794093.5,40539160713,100536980.8,63189037.63,11068075,0,HGA-VNS
123,4.8710598,174794093.5,76594879059,100536980.8,63189037.63,11068075,0,HGA-VNS
124,4.9167674,174794093.5,35758242809,100536980.8,63189037.63,11068075,0,HGA-VNS
125,4.9673166,174794093.5,1.54E+11,100536980.8,63189037.63,11068075,0,HGA-VNS
126,5.0112861,174794093.5,56479961631,100536980.8,63189037.63,11068075,0,HGA-VNS
127,5.045278,174794093.5,1.08E+11,100536980.8,63189037.63,11068075,0,HGA-VNS
128,5.083531,174794093.5,45737664569,100536980.8,63189037.63,11068075,0,HGA-VNS
129,5.1322385,174794093.5,67876017455,100536980.8,63189037.63,11068075,0,HGA-VNS
130,5.1660349,174794093.5,62485909229,100536980.8,63189037.63,11068075,0,HGA-VNS
131,5.2030486,174794093.5,40936452588,100536980.8,63189037.63,11068075,0,HGA-VNS
132,5.2393434,174794093.5,27193421212,100536980.8,63189037.63,11068075,0,HGA-VNS
133,5.2745692,174794093.5,26603028261,100536980.8,63189037.63,11068075,0,HGA-VNS
134,5.329489,174794093.5,62397063199,100536980.8,63189037.63,11068075,0,HGA-VNS
135,5.3657554,174794093.5,33902849225,100536980.8,63189037.63,11068075,0,HGA-VNS
136,5.4001392,174794093.5,13730720470,100536980.8,63189037.63,11068075,0,HGA-VNS
137,5.4353075,174794093.5,42273903603,100536980.8,63189037.63,11068075,0,HGA-VNS
138,5.4682558,174794093.5,1.60E+11,100536980.8,63189037.63,11068075,0,HGA-VNS
139,5.5009408,174794093.5,29636577657,100536980.8,63189037.63,11068075,0,HGA-VNS
140,5.5353957,174794093.5,1.13E+11,100536980.8,63189037.63,11068075,0,HGA-VNS
141,5.5726645,174794093.5,59539943947,100536980.8,63189037.63,11068075,0,HGA-VNS
142,5.6050017,174794093.5,23324091085,100536980.8,63189037.63,11068075,0,HGA-VNS
143,5.6511356,174794093.5,90606564116,100536980.8,63189037.63,11068075,0,HGA-VNS
144,5.6918775,174794093.5,46913058431,100536980.8,63189037.63,11068075,0,HGA-VNS
145,5.7293204,174794093.5,8777255342,100536980.8,63189037.63,11068075,0,HGA-VNS
146,5.7645949,174794093.5,2.18E+11,100536980.8,63189037.63,11068075,0,HGA-VNS
147,5.8019999,174794093.5,60165000296,100536980.8,63189037.63,11068075,0,HGA-VNS
148,5.8378856,174794093.5,1.38E+11,100536980.8,63189037.63,11068075,0,HGA-VNS
149,5.8708635,174794093.5,60828581185,100536980.8,63189037.63,11068075,0,HGA-VNS
150,5.9046529,174794093.5,79296674973,100536980.8,63189037.63,11068075,0,HGA-VNS
151,5.950985,174794093.5,88280017391,100536980.8,63189037.63,11068075,0,HGA-VNS
152,6.0012011,174794093.5,40496534774,100536980.8,63189037.63,11068075,0,HGA-VNS
153,6.0481081,174794093.5,62673116483,100536980.8,63189037.63,11068075,0,HGA-VNS
154,6.0822713,174794093.5,1.39E+11,100536980.8,63189037.63,11068075,0,HGA-VNS
