param,value,total,holding,ordering,shortage,order_miss_penalty,sum_Q,sum_SS,sum_ROP,convergence_sec,pop,gens,kmax,ls_max_iters,seed,svc,lt_fac,bfac,logc,delta_total,delta_holding,delta_ordering,delta_shortage,delta_order_miss_penalty,delta_sum_Q,delta_sum_SS,delta_sum_ROP,Method
log_cost,1.5,"224,719,804.89","151,186,492.26","63,189,037.63","10,344,275.00",0.00,2529,16911,45204.57222,28.7221866,120,300,2,5,123,1.2816,1,1,1.5,50812107.42,48599421.42,0,2212686,0,0,-248,-248,HGA-VNS
pop_size,40,"173,913,163.47","102,534,660.84","63,189,037.63","8,189,465.00",0.00,2529,17151,45444.57222,11.4675491,40,300,2,5,123,1.2816,1,1,1,5466,-52410,0,57876,0,0,-8,-8,HGA-VNS
pop_size,80,"173,935,593.47","102,477,047.84","63,189,037.63","8,269,508.00",0.00,2529,17160,45453.57222,22.4063657,80,300,2,5,123,1.2816,1,1,1,27896,-110023,0,137919,0,0,1,1,HGA-VNS
pop_size,120,"173,907,697.47","102,587,070.84","63,189,037.63","8,131,589.00",0.00,2529,17159,45452.57222,36.3814435,120,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,HGA-VNS
pop_size,160,"173,922,658.47","102,511,841.84","63,189,037.63","8,221,779.00",0.00,2529,17162,45455.57222,43.6124722,160,300,2,5,123,1.2816,1,1,1,14961,-75229,0,90190,0,0,3,3,HGA-VNS
pop_size,200,"173,918,047.47","102,521,988.84","63,189,037.63","8,207,021.00",0.00,2529,17139,45432.57222,58.536119,200,300,2,5,123,1.2816,1,1,1,10350,-65082,0,75432,0,0,-20,-20,HGA-VNS
iterations,100,"173,930,627.47","102,447,747.84","63,189,037.63","8,293,842.00",0.00,2529,17114,45407.57222,9.3610413,120,100,2,5,123,1.2816,1,1,1,22930,-139323,0,162253,0,0,-45,-45,HGA-VNS
iterations,200,"173,907,697.47","102,587,070.84","63,189,037.63","8,131,589.00",0.00,2529,17159,45452.57222,18.9348186,120,200,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,HGA-VNS
iterations,300,"173,907,697.47","102,587,070.84","63,189,037.63","8,131,589.00",0.00,2529,17159,45452.57222,25.6395231,120,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,HGA-VNS
iterations,400,"173,907,697.47","102,587,070.84","63,189,037.63","8,131,589.00",0.00,2529,17159,45452.57222,35.043932,120,400,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,HGA-VNS
